tmucodigo;tmudenominacao;tmuuf
"10502";"ABADIA DE GOIAS";"GO"
"40010";"ABADIA DOS DOURADOS";"MG"
"92010";"ABADIANIA";"GO"
"40037";"ABAETE";"MG"
"04014";"ABAETETUBA";"PA"
"13013";"ABAIARA";"CE"
"33014";"ABAIRA";"BA"
"33030";"ABARE";"BA"
"74012";"ABATIA";"PR"
"99392";"ABDON BATISTA";"SC"
"03751";"ABEL FIGUEIREDO";"PA"
"80012";"ABELARDO LUZ";"SC"
"40053";"ABRE CAMPO";"MG"
"26310";"ABREU E LIMA";"PE"
"03379";"ABREULANDIA";"TO"
"40070";"ACAIACA";"MG"
"09610";"ACAILANDIA";"MA"
"33057";"ACAJUTIBA";"BA"
"04030";"ACARA";"PA"
"12319";"ACARAPE";"CE"
"13030";"ACARAU";"CE"
"16012";"ACARI";"RN"
"02666";"ACAUA";"PI"
"13056";"ACOPIARA";"CE"
"90018";"ACORIZAL";"MT"
"06432";"ACRELANDIA";"AC"
"96458";"ACREUNA";"GO"
"40096";"ACUCENA";"MG"
"61018";"ADAMANTINA";"SP"
"97691";"ADELANDIA";"GO"
"61034";"ADOLFO";"SP"
"74039";"ADRIANOPOLIS";"PR"
"32530";"ADUSTINA";"BA"
"23019";"AFOGADOS DA INGAZEIRA";"PE"
"16055";"AFONSO BEZERRA";"RN"
"56014";"AFONSO CLAUDIO";"ES"
"07013";"AFONSO CUNHA";"MA"
"23035";"AFRANIO";"PE"
"04057";"AFUA";"PA"
"23051";"AGRESTINA";"PE"
"10014";"AGRICOLANDIA";"PI"
"80039";"AGROLANDIA";"SC"
"80055";"AGRONOMICA";"SC"
"03832";"AGUA AZUL DO NORTE";"PA"
"40118";"AGUA BOA";"MG"
"91910";"AGUA BOA";"MT"
"10030";"AGUA BRANCA";"PI"
"19011";"AGUA BRANCA";"PB"
"27014";"AGUA BRANCA";"AL"
"90034";"AGUA CLARA";"MS"
"40134";"AGUA COMPRIDA";"MG"
"80071";"AGUA DOCE";"SC"
"01040";"AGUA DOCE DO MARANHAO";"MA"
"57177";"AGUA DOCE DO NORTE";"ES"
"33073";"AGUA FRIA";"BA"
"97713";"AGUA FRIA DE GOIAS";"GO"
"92037";"AGUA LIMPA";"GO"
"16071";"AGUA NOVA";"RN"
"23078";"AGUA PRETA";"PE"
"84999";"AGUA SANTA";"RS"
"61050";"AGUAI";"SP"
"40150";"AGUANIL";"MG"
"23094";"AGUAS BELAS";"PE"
"61077";"AGUAS DA PRATA";"SP"
"80098";"AGUAS DE CHAPECO";"SC"
"61093";"AGUAS DE LINDOIA";"SP"
"70190";"AGUAS DE SANTA BARBARA";"SP"
"61115";"AGUAS DE SAO PEDRO";"SP"
"40177";"AGUAS FORMOSAS";"MG"
"55778";"AGUAS FRIAS";"SC"
"10529";"AGUAS LINDAS DE GOIAS";"GO"
"80110";"AGUAS MORNAS";"SC"
"40193";"AGUAS VERMELHAS";"MG"
"85014";"AGUDO";"RS"
"61131";"AGUDOS";"SP"
"74055";"AGUDOS DO SUL";"PR"
"57339";"AGUIA BRANCA";"ES"
"19038";"AGUIAR";"PB"
"00728";"AGUIARNOPOLIS";"TO"
"40215";"AIMORES";"MG"
"33111";"AIQUARA";"BA"
"13072";"AIUABA";"CE"
"40231";"AIURUOCA";"MG"
"85030";"AJURICABA";"RS"
"40258";"ALAGOA";"MG"
"19054";"ALAGOA GRANDE";"PB"
"19070";"ALAGOA NOVA";"PB"
"19097";"ALAGOINHA";"PB"
"23116";"ALAGOINHA";"PE"
"97675";"ALAGOINHA DO PIAUI";"PI"
"33138";"ALAGOINHAS";"BA"
"29955";"ALAMBARI";"SP"
"40274";"ALBERTINA";"MG"
"07030";"ALCANTARA";"MA"
"13099";"ALCANTARAS";"CE"
"04405";"ALCANTIL";"PB"
"01414";"ALCINOPOLIS";"MS"
"33154";"ALCOBACA";"BA"
"07056";"ALDEIAS ALTAS";"MA"
"85057";"ALECRIM";"RS"
"56030";"ALEGRE";"ES"
"85073";"ALEGRETE";"RS"
"22691";"ALEGRETE DO PIAUI";"PI"
"84972";"ALEGRIA";"RS"
"40290";"ALEM PARAIBA";"MG"
"04073";"ALENQUER";"PA"
"16098";"ALEXANDRIA";"RN"
"92053";"ALEXANIA";"GO"
"40312";"ALFENAS";"MG"
"56057";"ALFREDO CHAVES";"ES"
"61158";"ALFREDO MARCONDES";"SP"
"26816";"ALFREDO VASCONCELOS";"MG"
"80136";"ALFREDO WAGNER";"SC"
"04421";"ALGODAO DE JANDAIRA";"PB"
"19119";"ALHANDRA";"PB"
"23132";"ALIANCA";"PE"
"94412";"ALIANCA DO TOCANTINS";"TO"
"33170";"ALMADINA";"BA"
"92070";"ALMAS";"TO"
"04090";"ALMEIRIM";"PA"
"40339";"ALMENARA";"MG"
"16110";"ALMINO AFONSO";"RN"
"74071";"ALMIRANTE TAMANDARE";"PR"
"92096";"ALOANDIA";"GO"
"40355";"ALPERCATA";"MG"
"85090";"ALPESTRE";"RS"
"40371";"ALPINOPOLIS";"MG"
"89877";"ALTA FLORESTA";"MT"
"00337";"ALTA FLORESTA DOESTE";"RO"
"61174";"ALTAIR";"SP"
"04111";"ALTAMIRA";"PA"
"07072";"ALTAMIRA DO MARANHAO";"MA"
"84557";"ALTAMIRA DO PARANA";"PR"
"13110";"ALTANEIRA";"CE"
"40398";"ALTEROSA";"MG"
"23159";"ALTINHO";"PE"
"61190";"ALTINOPOLIS";"SP"
"03050";"ALTO ALEGRE";"RR"
"61212";"ALTO ALEGRE";"SP"
"84956";"ALTO ALEGRE";"RS"
"01066";"ALTO ALEGRE DO MARANHAO";"MA"
"01082";"ALTO ALEGRE DO PINDARE";"MA"
"00027";"ALTO ALEGRE DOS PARECIS";"RO"
"90050";"ALTO ARAGUAIA";"MT"
"08869";"ALTO BELA VISTA";"SC"
"01279";"ALTO BOA VISTA";"MT"
"05649";"ALTO CAPARAO";"MG"
"16136";"ALTO DO RODRIGUES";"RN"
"60453";"ALTO FELIZ";"RS"
"90077";"ALTO GARCAS";"MT"
"00850";"ALTO HORIZONTE";"GO"
"50695";"ALTO JEQUITIBA";"MG"
